Subject Name,Scientific Name,Num. of Counties,Habit
rosarypea,Abrus precatorius L.,53,Vines
hairy Indian mallow,Abutilon grandifolium (Willd.) Sweet,6,Shrub or Subshrub
velvetleaf,Abutilon theophrasti Medik,1344,Forbs/Herbs
earleaf acacia,Acacia auriculiformis A. Cunningham ex Benth.,23,Shrub or Subshrub
cootamundra wattle,Acacia baileyana F. Muell.,14,Hardwood Trees
small Philippine acacia,Acacia confusa Merr,4,Hardwood Trees
cyclops acacia,Acacia cyclops A. Cunn. ex G. Don,5,Shrub or Subshrub
silver wattle,Acacia dealbata Link,32,Shrub or Subshrub
Sydney golden wattle,Acacia longifolia (Andr.) Willd.,16,Hardwood Trees
black wattle,Acacia mearnsii de Wildeman.,11,Hardwood Trees
black acacia,Acacia melanoxylon R. Br. ex Ait. f.,26,Hardwood Trees
kangaroothorn,Acacia paradoxa DC.,9,Shrub or Subshrub
golden wattle,Acacia pycnantha Benth.,6,Hardwood Trees
everblooming acacia,Acacia retinodes Schlecht.,12,Hardwood Trees
orange wattle,Acacia saligna (Labill.) Wendl. f.,4,Hardwood Trees
biddy-biddy,Acaena novae-zelandiae Kirk,14,Forbs/Herbs
bear's breech,Acanthus mollis L.,3,Forbs/Herbs
hedge maple,Acer campestre L.,38,Hardwood Trees
Amur maple,Acer ginnala Maxim.,211,Hardwood Trees
boxelder,Acer negundo L.,94,Hardwood Trees
Japanese maple,Acer palmatum Thunb.,55,Hardwood Trees
Norway maple,Acer platanoides L.,562,Hardwood Trees
Sycamore maple,Acer pseudoplatanus L.,95,Hardwood Trees
western yarrow,Achillea millefolium var. occidentalis DC.,0,Forbs/Herbs
punagrass,Achnatherum brachychaetum (Godr.) Barkworth,7,Grass or Grasslike
Japanese chaff flower,Achyranthes japonica (Miq.) Nakai,186,Forbs/Herbs
mother-of-thyme,Acinos arvensis (Lam.) Dandy,0,Forbs/Herbs
American sweetflag,Acorus calamus L.,68,Forbs/Herbs
tara vine,Actinidia arguta (Siebold & Zucc.) Planch. ex Miq.,13,Vines
red beadtree,Adenanthera pavonina L,4,Hardwood Trees
rough maidenhair fern,Adiantum hispidulum Sw.,8,Forbs/Herbs
delta maidenhair,Adiantum raddianum K. Presl,4,Forbs/Herbs
jointed goatgrass,Aegilops cylindrica Host,580,Grass or Grasslike
ovate goatgrass,Aegilops geniculata Roth,4,Grass or Grasslike
barb goatgrass,Aegilops triuncialis L,45,Grass or Grasslike
